"PlayerName","Team","POS","ADP","PA","mAVG","mRBI","mR","mSB","mHR","PTS","aPOS","Dollars"
"Keston Hiura","Brewers","2B","498.3","20","($72.0)","($39.8)","($23.7)","($20.0)","($53.4)","($208.9)","$58.1","($149.7)"
"Chris Shaw","Giants","OF","600.2","108","($70.7)","($35.5)","($24.3)","($20.3)","($46.3)","($197.1)","$46.4","($149.7)"
"Luis Rengifo","Angels","2B","600.7","20","($72.5)","($40.1)","($23.5)","($19.0)","($53.9)","($208.9)","$58.1","($149.8)"
"Patrick Wisdom","Rangers","1B/3B","598.5","65","($72.2)","($37.2)","($22.5)","($18.8)","($48.9)","($199.6)","$48.5","($150.1)"
"Derek Fisher","Astros","OF","600.5","65","($72.8)","($37.3)","($21.8)","($16.9)","($48.9)","($197.7)","$46.4","($150.4)"
"Jacoby Ellsbury","Yankees","OF","999.0","70","($69.5)","($38.9)","($21.8)","($16.1)","($51.8)","($198.0)","$46.4","($150.7)"
"Austin Hays","Orioles","OF","560.5","47","($69.3)","($37.5)","($22.7)","($19.4)","($49.8)","($198.7)","$46.4","($151.3)"
"Anthony Santander","Orioles","OF","999.0","52","($69.3)","($37.8)","($22.9)","($19.6)","($50.3)","($200.0)","$46.4","($152.6)"
"Steve Wilkerson","Orioles","2B/3B/SS","999.0","143","($66.5)","($38.6)","($24.7)","($16.2)","($50.5)","($196.6)","$42.6","($153.1)"
"Jace Peterson","","3B/OF","999.0","66","($70.9)","($39.8)","($23.3)","($16.3)","($52.9)","($203.2)","$48.5","($153.7)"
"Preston Tucker","White Sox","OF","999.0","58","($71.9)","($37.4)","($22.7)","($20.4)","($49.0)","($201.3)","$46.4","($153.9)"
"Drew Ferguson","Giants","OF","999.0","86","($69.1)","($39.2)","($24.1)","($16.9)","($52.1)","($201.5)","$46.4","($154.1)"
"Andrew Stevenson","Nationals","OF","999.0","65","($68.9)","($39.1)","($23.9)","($16.7)","($52.9)","($201.5)","$46.4","($154.2)"
"Matt Davidson","Rangers","1B/DH","592.6","95","($72.0)","($34.4)","($21.9)","($20.8)","($45.0)","($194.1)","$38.2","($154.9)"
"Mitch Walding","Phillies","3B","999.0","73","($75.1)","($37.5)","($23.1)","($20.3)","($48.5)","($204.4)","$48.5","($155.0)"
"Yonathan Daza","Rockies","OF","999.0","34","($67.4)","($39.2)","($23.3)","($19.1)","($53.6)","($202.6)","$46.4","($155.3)"
"Anthony Alford","Blue Jays","OF/DH","999.0","67","($71.5)","($39.6)","($23.4)","($15.9)","($52.4)","($202.7)","$46.4","($155.3)"
"Oscar Mercado","Indians","SS","597.8","67","($70.3)","($39.0)","($23.4)","($13.9)","($52.6)","($199.1)","$42.6","($155.5)"
"Connor Joe","Reds","1B/3B","999.0","54","($71.6)","($38.7)","($23.4)","($20.1)","($51.4)","($205.2)","$48.5","($155.7)"
"Tyler Saladino","Brewers","SS","999.0","81","($70.5)","($38.4)","($23.4)","($16.4)","($50.9)","($199.6)","$42.6","($156.0)"
"Drew Robinson","Cardinals","OF","999.0","59","($74.1)","($38.1)","($23.1)","($18.4)","($50.1)","($203.8)","$46.4","($156.4)"
"Ildemaro Vargas","Diamondbacks","2B/3B/SS","999.0","66","($65.8)","($38.8)","($23.8)","($18.7)","($53.0)","($200.0)","$42.6","($156.5)"
"Carlos Gomez","Mets","OF","600.5","47","($73.1)","($38.9)","($23.6)","($18.4)","($51.3)","($205.2)","$46.4","($157.8)"
"Mauricio Dubon","Brewers","2B/SS","598.4","47","($69.9)","($39.3)","($23.7)","($16.6)","($52.8)","($202.3)","$42.6","($158.7)"
"LaMonte Wade","Twins","OF","999.0","33","($70.6)","($39.5)","($23.0)","($19.9)","($53.0)","($206.1)","$46.4","($158.7)"
"Carlos Tocci","Rangers","OF","999.0","52","($69.8)","($39.9)","($23.8)","($18.9)","($53.9)","($206.4)","$46.4","($159.0)"
"Richard Urena","Blue Jays","SS","999.0","77","($69.3)","($38.8)","($23.6)","($18.9)","($52.0)","($202.6)","$42.6","($159.0)"
"Tyrone Taylor","Brewers","OF","999.0","40","($72.5)","($39.0)","($23.7)","($19.3)","($52.0)","($206.4)","$46.4","($159.0)"
"Rowdy Tellez","Blue Jays","1B/DH","571.3","51","($69.1)","($37.0)","($22.4)","($19.7)","($50.0)","($198.3)","$38.2","($159.1)"
"Michael Reed","Twins","OF","999.0","27","($71.6)","($39.5)","($23.0)","($19.8)","($52.8)","($206.8)","$46.4","($159.4)"
"Mark Zagunis","Cubs","OF","999.0","45","($72.4)","($39.3)","($23.3)","($19.6)","($52.3)","($206.9)","$46.4","($159.5)"
"Hanley Ramirez","Indians","1B","588.7","49","($70.2)","($36.8)","($22.2)","($19.9)","($49.7)","($198.7)","$38.2","($159.5)"
"Adeiny Hechavarria","Mets","SS","999.0","79","($68.0)","($38.7)","($24.8)","($19.4)","($52.2)","($203.2)","$42.6","($159.6)"
